Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,NaN,0
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,389645.43,69772.79,345500.00,417,0,668,0,219,0,154,0,13,0.7291838250332956,1452
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,9745209.57,592585.77,822750.00,1184,0,290,0,2670,0,473,0,32,0.8258772347170139,3420
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,7957.40,3647211.14,10040200.00,882,216,0,405,0,1144,0,640,82,0.8566808410348584,5964
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,3556241.66,1644618.53,11395800.00,1245,0,492,0,1498,0,664,0,81,0.8522580852667603,6336
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,11689.59,2466871.78,10451900.00,799,231,0,461,0,896,0,574,82,0.8331530259346477,5556
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,25632.16,4215349.80,12522000.00,1018,176,0,408,0,1215,0,722,83,0.8096499541737858,6348
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,8471.08,2880084.70,12352200.00,934,164,0,513,0,971,0,704,81,0.8424523298449819,5952
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,9795.36,3240630.10,12784200.00,485,554,0,456,0,984,0,632,84,0.8109117958215953,5916
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,18261511.10,0.00,0,2413,0,759,0,3747,0,726,9,1.6199646609035858,3216
